name,element,GW,bonus,assists,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Aaron Cresswell,530,12,0,0,0,1,85,0,0,0,0.3,-60352,0,4.2,3,-1.25
Aaron Hickey,104,12,0,0,2,12,713,0,0,0,0.2,-12710,5,4.5,17,-6.25
Aaron Wan-Bissaka,401,12,5,1,2,6,430,0,0,0,2.6,-48073,2,4.4,23,-2.0000000000000018
Abdul Rahman Baba,190,12,0,0,0,0,0,0,0,0,0.0,-262,0,4.0,0,0.0
Adam Smith,84,12,0,0,0,4,119,0,0,0,0.0,-1270,0,4.4,4,-1.6666666666666667
Adam Webster,153,12,0,0,0,13,540,1,0,0,0.2,-9849,1,4.3,5,-1.9166666666666663
Aidan Francis-Clarke,648,12,0,0,0,0,0,0,0,0,0.0,-544,0,4.0,0,0.0
Alex Murphy,634,12,0,0,0,0,0,0,0,0,0.3,-6663,0,3.9,0,0.0
Alex Telles,370,12,0,0,0,0,0,0,0,0,0.0,-690,0,4.5,0,0.0
Alexandre Moreno Lopera,32,12,0,0,0,0,0,0,0,0,0.1,1761,0,5.0,0,0.0
Alfie Dorrington,740,12,0,0,0,0,0,0,0,0,0.0,147,0,4.0,0,0.0
Alfie Doughty,321,12,4,1,0,17,802,0,0,0,0.2,4663,1,4.4,23,-8.750000000000002
Alfie Gilchrist,716,12,0,0,0,0,0,0,0,0,0.0,556,0,4.0,0,0.0
Amari'i Bell,316,12,0,0,0,12,560,0,0,0,3.1,-481646,0,3.9,9,-3.416666666666667
Ameen Al-Dakhil,157,12,0,0,0,22,855,1,0,0,0.7,15097,1,4.0,9,-3.25
Andrew Omobamidele,711,12,0,0,0,0,0,0,0,0,0.0,18,0,4.5,0,0.0
Andrew Robertson,307,12,3,0,1,9,720,0,0,0,2.6,-219213,1,6.4,26,-7.083333333333332
Anel Ahmedhodžić,471,12,0,0,0,22,720,0,0,0,0.2,-26130,3,4.3,3,-0.4166666666666665
Angelo Ogbonna,577,12,0,0,0,1,112,0,0,0,0.1,-3897,0,4.4,4,-0.3333333333333335
Antonee Robinson,283,12,2,1,2,20,990,2,0,0,0.5,-13284,4,4.4,20,-4.749999999999998
Ashley Phillips,702,12,0,0,0,0,0,0,0,0,0.1,5110,0,4.0,0,0.0
Ashley Young,588,12,0,0,1,17,917,1,0,0,0.3,-34776,3,4.4,11,-2.666666666666667
Auston Trusty,27,12,0,0,0,14,465,0,0,0,1.7,59561,1,3.9,6,-1.2499999999999998
Axel Disasi,611,12,3,0,3,13,966,0,0,0,4.4,220475,2,5.0,38,-9.833333333333332
Aymeric Laporte,357,12,0,0,0,0,11,0,0,0,0.1,-31660,0,4.9,1,0.0
Bashir Humphreys,671,12,0,0,0,0,0,0,0,0,0.0,-292,0,4.0,0,0.0
Ben Chilwell,195,12,2,1,1,5,334,0,0,0,5.5,-980431,3,5.4,15,-1.333333333333334
Ben Davies,495,12,0,1,0,2,178,0,0,0,0.4,-38089,0,4.3,9,-2.166666666666667
Ben Godfrey,252,12,0,0,0,0,1,0,0,0,0.1,-7185,0,4.3,1,-0.25
Ben Greenwood,619,12,0,0,0,0,0,0,0,0,0.2,-467,0,4.0,0,0.0
Ben Johnson,536,12,0,0,0,0,0,0,0,0,0.1,-3465,0,4.4,0,0.0
Ben Mee,109,12,0,0,0,6,242,0,0,0,1.3,-454610,0,4.8,5,-1.0
Bendegúz Bolla,547,12,0,0,0,0,0,0,0,0,0.5,-39249,0,4.0,0,0.0
Benjamin White,29,12,7,1,5,9,947,0,0,0,14.2,447619,2,5.8,53,-21.83333333333333
Benoît Badiashile,191,12,0,0,0,0,0,0,0,0,0.0,-1952,0,4.4,0,0.0
Bobby Thomas,179,12,0,0,0,0,0,0,0,0,0.0,-1211,0,4.0,0,0.0
Brandon Williams,374,12,0,0,0,0,0,0,0,0,0.1,-10682,0,4.0,0,0.0
CJ Egan-Riley,166,12,0,0,0,0,0,0,0,0,0.2,3434,0,3.9,0,0.0
Callum Scanlon,728,12,0,0,0,0,0,0,0,0,0.0,182,0,4.0,0,0.0
Calum Chambers,37,12,0,0,0,0,0,0,0,0,1.0,-34597,0,3.9,0,0.0
Calvin Bassey,610,12,0,0,0,10,485,0,0,0,0.2,-16179,0,4.4,7,-2.916666666666667
Charlie Goode,102,12,0,0,0,0,0,0,0,0,0.2,1806,0,3.9,0,0.0
Charlie Taylor,178,12,0,0,0,19,810,0,0,0,5.5,453722,3,4.0,14,-6.750000000000001
Chris Basham,474,12,0,0,0,6,316,0,0,0,0.6,3471,1,4.0,8,-2.0
Chris Mepham,75,12,0,0,0,5,168,0,0,0,0.1,-4354,1,4.3,3,-1.5833333333333333
Chris Richards,238,12,0,0,0,3,111,0,0,0,0.6,7426,0,3.9,4,-1.5833333333333337
Clément Lenglet,699,12,0,0,0,0,0,0,0,0,0.1,2263,0,4.5,0,0.0
Connor Roberts,176,12,0,1,0,21,733,0,0,0,0.2,-12608,2,4.4,8,-2.5
Craig Dawson,551,12,0,0,1,20,1060,0,0,0,0.3,5792,5,4.5,17,-5.666666666666666
Cristian Romero,511,12,7,0,4,11,855,1,0,0,11.7,866262,2,5.0,44,-15.749999999999995
Cédric Alves Soares,2,12,0,0,0,0,0,0,0,0,0.4,-1963,0,3.9,0,0.0
César Azpilicueta,189,12,0,0,0,0,0,0,0,0,0.0,-96,0,4.5,0,0.0
Dan Burn,407,12,0,0,4,11,945,0,0,0,5.3,197866,2,4.6,37,-15.083333333333336
Dan Potts,333,12,0,0,0,0,0,0,0,0,0.1,-2764,0,3.9,0,0.0
Dara O'Shea,173,12,1,1,0,24,675,0,0,0,0.2,-6318,0,4.4,10,-4.250000000000001
Davinson Sánchez,512,12,0,0,0,2,76,0,0,0,0.1,-11938,1,4.4,0,0.0
Destiny Udogie,519,12,4,2,3,12,782,0,0,0,10.2,720897,3,4.8,29,-8.333333333333336
Devan Tanton,732,12,0,0,0,0,0,0,0,0,0.0,288,0,4.0,0,0.0
Diego Carlos Santos Silva,41,12,0,0,0,6,273,0,0,0,0.3,-22300,0,4.4,8,-2.666666666666666
Diogo Dalot Teixeira,377,12,5,0,3,15,924,0,0,0,3.8,167932,2,5.0,38,-14.0
Djed Spence,517,12,0,0,0,0,0,0,0,0,0.2,-36274,0,4.0,0,0.0
Emerson Leite de Souza Junior,497,12,1,0,0,9,325,0,0,0,0.9,-16140,1,4.4,14,-2.583333333333334
Emerson Palmieri dos Santos,532,12,2,2,1,21,990,0,0,0,0.7,19275,6,4.5,21,-6.666666666666666
Emil Krafth,417,12,0,0,0,0,1,0,0,0,0.0,-546,0,4.4,1,0.08333333333333333
Eric Bailly,375,12,0,0,0,0,0,0,0,0,0.1,-12452,0,4.0,0,0.0
Eric Dier,496,12,0,0,0,6,146,0,0,0,0.6,-50207,0,4.2,0,0.25
Ethan Ampadu,185,12,0,0,0,0,0,0,0,0,0.0,-844,0,4.0,0,0.0
Ethan Pinnock,112,12,5,0,3,17,1080,0,0,0,3.4,135771,0,4.6,41,-18.583333333333336
Ezri Konsa Ngoyo,48,12,2,1,2,17,1080,0,0,0,1.4,20909,2,4.5,31,-11.75
Fabian Schär,427,12,4,1,5,13,1080,0,0,0,7.5,500917,2,5.2,44,-17.999999999999996
Felipe Augusto de Almeida Monteiro,445,12,0,0,0,0,0,0,0,0,0.0,-1911,0,4.4,0,0.0
Femi Seriki,653,12,0,0,0,0,0,0,0,0,0.1,1083,0,4.0,0,0.0
Fodé Ballo-Touré,707,12,0,0,0,0,0,0,0,0,0.0,639,0,4.5,0,0.0
Gabriel Osho,330,12,0,0,0,4,236,0,0,0,0.0,-775,0,4.4,4,-0.16666666666666666
Gabriel dos Santos Magalhães,5,12,2,0,3,7,744,0,0,0,15.0,-1412231,1,4.8,29,-11.166666666666668
George Baldock,473,12,0,1,0,8,449,0,0,0,7.1,-641635,2,3.8,10,-0.916666666666666
Giulian Biancone,438,12,0,0,0,0,0,0,0,0,0.1,-6764,0,3.9,0,0.0
Gonzalo Montiel,679,12,0,0,0,1,166,0,0,0,0.0,395,2,4.4,2,-0.6000000000000001
Hannes Delcroix,674,12,0,0,0,11,239,0,0,0,0.0,1522,1,4.0,3,-1.2727272727272727
Harrison Ashby,404,12,0,0,0,0,0,0,0,0,0.0,-2166,0,4.0,0,0.0
Harry Maguire,387,12,2,1,2,7,476,0,0,0,2.3,171472,0,4.3,23,-6.666666666666668
Harry Toffolo,465,12,3,3,2,6,391,0,0,0,0.1,4747,0,4.4,28,-9.25
Hjalmar Ekdal,167,12,0,0,0,0,0,0,0,0,0.1,-12856,0,3.9,0,0.0
Hugo Bueno López,548,12,0,0,1,3,140,1,0,0,0.1,-6565,0,4.4,8,-1.083333333333333
Ibrahima Konaté,302,12,0,0,2,5,467,0,0,0,1.6,-25875,1,4.9,20,-9.250000000000002
Igor Julio dos Santos de Paulo,606,12,1,0,0,6,333,0,0,0,0.2,-981,1,4.3,7,-1.8333333333333333
Illia Zabarnyi,89,12,0,0,2,27,1080,0,0,0,0.1,-1356,2,4.4,19,-3.75
Issa Diop,271,12,2,0,3,13,700,0,0,0,0.5,-19301,2,4.4,23,-5.833333333333332
Issa Kaboré,602,12,3,2,0,14,777,0,0,0,5.9,23858,4,4.0,23,-6.583333333333334
Ivan Perišić,507,12,0,1,0,1,98,0,0,0,0.9,-224343,2,4.7,6,-1.333333333333333
