name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,value,transfers_balance,yellow_cards,total_points,mean_reversion
Aaron Connolly,127,15,0,0,0,0,0,0,0,0.0,4.5,-3697,0,0,0.0
Ademola Ola-Adebomi,720,15,0,0,0,0,0,0,0,0.0,4.5,1957,0,0,0.0
Admiral Muskwe,327,15,0,0,0,0,0,0,0,0.1,4.5,-16306,0,0,0.0
Alejo Véliz,641,15,0,0,0,16,0,0,0,0.1,5.4,-2640,1,4,-1.4
Aleksandar Mitrović,278,15,0,0,0,32,0,0,0,0.7,7.4,-339312,0,1,0.0
Alexander Isak,415,15,8,3,10,751,0,0,0,15.9,7.6,-525159,0,56,-15.466666666666667
Andi Zeqiri,155,15,0,0,0,0,0,0,0,0.5,4.4,-70426,0,0,0.0
Anthony Martial,390,15,2,1,5,384,0,0,0,0.4,6.4,-4591,0,24,-9.733333333333333
Antoine Semenyo,82,15,4,3,12,617,0,0,0,3.9,4.6,268455,2,39,-11.733333333333334
Antwoine Hackford,656,15,0,0,1,11,0,0,0,0.1,4.5,2097,0,2,-0.06666666666666665
Aribim Pepple,331,15,0,0,0,0,0,0,0,0.1,4.5,-15814,0,0,0.0
Armando Broja,193,15,0,1,3,164,0,0,0,0.2,4.9,10459,0,15,-6.7333333333333325
Ben Parkinson,739,15,0,0,1,24,0,0,0,0.0,4.5,1447,0,1,0.0
Bénie Traoré,593,15,0,0,13,383,0,0,0,0.0,5.2,-4520,0,11,-1.6000000000000003
Callum Wilson,433,15,4,4,7,479,0,0,0,3.4,7.8,-549700,1,46,-16.666666666666668
Cameron Archer,33,15,6,0,29,941,0,0,0,10.0,4.6,438462,2,38,-15.13333333333333
Carlos Vinícius Alves Morais,287,15,2,0,3,254,0,0,0,1.5,4.7,-242398,2,15,-4.866666666666667
Carlton Morris,326,15,7,2,24,1172,0,0,0,2.9,5.2,148140,1,53,-16.866666666666667
Cauley Woodrow,340,15,0,0,2,74,0,0,0,0.8,4.4,3645,0,7,-2.2
Chiedozie Ogbene,328,15,2,1,18,936,0,0,0,0.2,4.9,176,0,33,-14.4
Chris Wood,468,15,5,1,9,430,0,0,0,0.7,4.9,7307,0,34,-11.666666666666668
Christopher Nkunku,212,15,0,0,0,0,0,0,0,0.6,7.3,-101647,0,0,0.0
Cody Gakpo,297,15,3,2,7,584,0,0,0,2.2,7.2,-424230,0,28,-8.399999999999999
Dane Scarlett,640,15,0,0,0,0,0,0,0,0.1,4.5,-21552,0,0,0.0
Daniel Jebbison,483,15,0,0,0,0,0,0,0,0.0,4.8,-1062,0,0,0.0
Danny Ings,535,15,0,0,5,129,0,0,0,0.7,5.6,-120577,1,9,-2.9333333333333336
Danny Welbeck,154,15,1,2,7,407,0,0,0,0.6,5.7,-181948,1,15,-3.733333333333333
Darwin Núñez Ribeiro,293,15,4,3,8,793,0,0,0,18.7,7.7,460001,3,60,-20.866666666666667
David Datro Fofana,200,15,0,0,0,0,0,0,0,0.0,5.0,-362,0,0,0.0
Deivid Washington de Souza Eugênio,677,15,0,0,1,9,0,0,0,0.1,4.5,2977,0,1,-0.4615384615384616
Deniz Undav,149,15,0,0,0,0,0,0,0,0.0,5.5,-4414,0,0,0.0
Divin Mubama,538,15,0,0,0,28,0,0,0,6.7,4.3,-416687,0,1,-0.4666666666666666
Divock Origi,714,15,0,0,3,151,0,0,0,0.1,5.0,6351,1,7,-1.8333333333333333
Dominic Calvert-Lewin,246,15,3,4,11,738,0,0,0,1.1,5.8,11122,1,33,-14.866666666666667
Dominic Solanke,85,15,6,3,28,1335,0,0,0,6.4,6.5,349453,1,66,-23.46666666666667
Eddie Nketiah,13,15,5,6,6,813,0,0,0,7.1,5.5,292610,2,52,-17.0
Elijah Adebayo,314,15,2,0,13,483,0,0,0,0.6,4.8,-47070,1,33,-9.799999999999997
Ellis Simms,264,15,0,0,0,0,0,0,0,0.0,4.5,-3325,0,0,0.0
Emmanuel Dennis,443,15,0,0,0,0,0,0,0,0.1,4.8,-43721,0,0,0.0
Erling Haaland,355,15,15,4,16,1294,0,0,0,84.3,14.0,-376907,1,112,-39.73333333333333
Evan Ferguson,132,15,5,1,18,764,0,0,0,7.9,6.1,114843,1,49,-14.533333333333335
