name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Aaron Ramsdale,17,11,0,1,4,360,0,0,5,7.9,-1001998,0,4.7,11,-1.2727272727272734
Adam Davies,479,11,0,0,0,0,0,0,0,0.2,-3975,0,4.0,0,0.0
Adrián San Miguel del Castillo,289,11,0,0,0,0,0,0,0,0.3,-5646,0,4.0,0,0.0
Alfie Whiteman,521,11,0,0,0,0,0,0,0,0.2,-6254,0,3.9,0,0.0
Alisson Ramses Becker,291,11,9,3,10,990,0,0,37,12.7,212688,1,5.6,49,-13.545454545454547
Alphonse Areola,524,11,2,1,20,990,0,1,41,37.1,1502228,0,4.3,38,-10.121212121212118
Altay Bayindir,695,11,0,0,0,0,0,0,0,0.0,2167,0,4.0,0,0.0
André Onana,597,11,1,3,16,990,0,0,41,14.6,-1282945,3,4.8,35,-7.878787878787879
Andy Lonergan,579,11,0,0,0,0,0,0,0,0.1,-1650,0,4.0,0,0.0
Arijanet Muric,172,11,0,0,0,0,0,0,0,0.2,-13116,0,4.3,0,0.0
Bailey Peacock-Farrell,175,11,0,0,0,0,0,0,0,0.0,-874,0,4.0,0,0.0
Bart Verbruggen,152,11,2,0,8,450,0,0,13,0.4,-12643,0,4.4,12,-2.0
Bernd Leno,275,11,8,3,17,990,0,0,43,14.8,602418,0,4.7,46,-11.333333333333336
Brandon Austin,491,11,0,0,0,0,0,0,0,0.2,-4675,0,3.9,0,0.0
Caoimhin Kelleher,301,11,0,0,0,0,0,0,0,0.3,-2256,0,3.9,0,0.0
Daniel Bentley,546,11,0,0,0,0,0,0,0,0.5,2590,0,3.9,0,0.0
Darren Randolph,80,11,0,0,0,0,0,0,0,0.5,-12805,0,4.0,0,0.0
David Raya Martin,113,11,2,4,5,630,0,0,8,4.6,-59201,0,4.8,32,-13.878787878787875
Dean Henderson,385,11,0,0,0,0,0,0,0,0.3,-18474,0,4.4,0,0.0
Denis Franchi,169,11,0,0,0,0,0,0,0,0.2,-845,0,3.9,0,0.0
Djordje Petrovic,687,11,0,0,0,0,0,0,0,0.0,261,0,4.5,0,0.0
Eddie Beach,680,11,0,0,0,0,0,0,0,0.0,363,0,4.0,0,0.0
Ederson Santana de Moraes,352,11,0,4,7,900,0,0,14,17.5,28517,2,5.5,36,-8.939393939393941
Ellery Balcombe,91,11,0,0,0,0,0,0,0,0.2,-6241,0,4.0,0,0.0
Emiliano Martínez Romero,49,11,3,2,15,900,1,0,26,7.4,-65473,2,4.9,27,-8.545454545454547
Ethan Horvath,449,11,0,0,0,0,0,0,0,0.1,-5253,0,4.3,0,0.0
Filip Marschall,670,11,0,0,0,0,0,0,0,0.0,787,0,4.0,0,0.0
Fraser Forster,498,11,0,0,0,0,0,0,0,2.2,-156903,0,3.9,0,0.0
Gabriel Słonina,215,11,0,0,0,0,0,0,0,0.0,-3632,0,4.0,0,0.0
George Shelvey,636,11,0,0,0,0,0,0,0,0.0,-874,0,4.0,0,0.0
Guglielmo Vicario,520,11,5,4,13,990,0,0,37,8.0,607857,2,5.2,46,-14.363636363636365
Hugo Lloris,502,11,0,0,0,0,0,0,0,0.6,-33424,0,4.8,0,0.0
Ionuț Radu,607,11,0,0,7,180,0,0,5,0.1,-2810,0,4.4,2,-1.2727272727272727
Jack Walton,338,11,0,0,0,0,0,0,0,0.0,-675,0,4.0,0,0.0
James Shea,335,11,0,0,0,0,0,0,0,0.1,-8513,0,4.3,0,0.0
James Trafford,596,11,0,0,27,990,0,0,39,0.9,-16005,1,4.5,21,-7.333333333333332
Jason Steele,148,11,0,0,12,540,0,0,20,2.6,-282549,0,4.3,13,-3.333333333333334
Joe Whitworth,243,11,0,0,0,0,0,0,0,1.1,-19936,0,4.0,0,0.0
