name,element,GW,assists,bonus,goals_scored,minutes,own_goals,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Aaron Ramsey,675,12,0,0,0,218,0,0,0.0,1806,0,5.0,8,-2.6363636363636367
Abdoulaye Doucouré,249,12,2,4,4,1038,0,0,0.7,39453,3,5.5,52,-15.333333333333336
Adam Lallana,138,12,0,0,0,259,0,0,0.0,-3585,1,4.9,8,-2.0
Adama Traoré,662,12,0,0,0,40,0,0,0.0,-246,0,4.9,4,-0.18181818181818168
Albert Sambi Lokonga,21,12,0,0,0,130,0,0,0.0,-1073,0,4.9,3,-1.0833333333333333
Alejandro Garnacho,382,12,0,0,0,399,0,0,1.2,-137239,1,4.7,16,-3.25
Alex Iwobi,256,12,0,0,0,601,0,0,0.3,-57376,2,5.3,14,-4.749999999999999
Alex Matos,718,12,0,0,0,1,0,0,0.0,374,0,4.5,1,-0.25
Alex Mighten,456,12,0,0,0,0,0,0,0.0,-2248,0,4.4,0,0.0
Alex Scott,644,12,0,0,0,189,0,0,0.0,-536,1,4.9,3,-1.5
Alexis Mac Allister,304,12,1,1,0,880,0,0,3.1,-806568,5,5.8,19,-8.583333333333332
Allan Campbell,319,12,0,0,0,0,0,0,0.0,-3556,0,4.9,0,0.0
Allan Saint-Maximin,426,12,0,0,0,0,0,0,0.0,-5255,0,6.0,0,0.0
Amad Diallo,371,12,0,0,0,0,0,0,0.0,-2635,0,4.4,0,0.0
Amadou Diallo,738,12,0,0,0,0,0,0,0.0,125,0,4.5,0,0.0
Amadou Onana,261,12,0,0,0,920,0,0,0.2,-9703,1,4.8,22,-8.583333333333334
Anass Zaroury,184,12,0,0,0,126,0,0,0.0,-9992,0,4.8,2,-2.1666666666666665
Andre Brooks,655,12,0,0,0,19,0,0,0.0,796,0,4.5,2,-0.08333333333333326
Andreas Hoelgebaum Pereira,267,12,2,0,1,779,0,0,0.7,-36311,2,5.4,34,-9.083333333333332
Andrey Nascimento dos Santos,186,12,0,0,0,7,0,0,0.1,-6571,0,4.4,1,-0.6666666666666667
Andros Townsend,727,12,1,0,0,171,0,0,0.0,874,0,5.0,10,1.0
André Tavares Gomes,244,12,0,0,0,0,0,0,0.1,-16448,0,4.4,0,0.0
Anis Slimane,587,12,0,0,0,108,0,0,0.0,-4293,2,4.7,3,-1.0833333333333337
Anssumane Fati Vieira,700,12,0,1,2,266,0,0,1.0,80996,1,6.5,20,-6.666666666666666
Anthony Elanga,378,12,3,2,2,650,0,0,0.8,11308,1,5.0,39,-12.0
Anthony Gordon,412,12,4,3,4,880,0,0,11.1,1044736,6,5.8,56,-18.750000000000004
Anthony Knockaert,273,12,0,0,0,0,0,0,0.0,-6472,0,4.4,0,0.0
Antony Matheus dos Santos,372,12,0,0,0,486,0,0,0.6,-82978,2,6.8,15,-3.25
Arnaut Danjuma Groeneveld,601,12,0,0,1,369,0,0,0.2,-6479,0,5.3,16,-4.416666666666666
Ben Doak,628,12,0,0,0,13,0,0,0.0,-1835,0,4.4,1,0.0
Ben Osborn,489,12,0,0,0,274,0,0,0.0,-1918,2,4.8,7,-1.0
Ben Pearson,79,12,0,0,0,0,0,0,0.0,-105,0,4.5,0,0.0
Benicio Baker-Boaitey,742,12,0,0,0,0,0,0,0.0,52,0,4.5,0,0.0
