name,element,GW,bonus,assists,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Aaron Cresswell,530,1,0,0,0,0,0,0,0,0,1.0,-6098,0,4.5,0,0.0
Aaron Cresswell,530,2,0,0,0,0,0,0,0,0,0.8,-19502,0,4.4,0,0.0
Aaron Cresswell,530,3,0,0,0,0,0,0,0,0,0.7,-26974,0,4.4,0,0.0
Aaron Cresswell,530,4,0,0,0,0,0,0,0,0,0.6,-35460,0,4.3,0,0.0
Aaron Cresswell,530,5,0,0,0,0,0,0,0,0,0.6,-39978,0,4.3,0,0.0
Aaron Cresswell,530,6,0,0,0,0,0,0,0,0,0.5,-47977,0,4.3,0,0.0
Aaron Cresswell,530,7,0,0,0,0,0,0,0,0,0.4,-55998,0,4.2,0,0.0
Aaron Cresswell,530,8,0,0,0,0,0,0,0,0,0.4,-59425,0,4.2,0,0.0
Aaron Cresswell,530,9,0,0,0,1,84,0,0,0,0.3,-62133,0,4.2,2,0.2222222222222222
Aaron Cresswell,530,10,0,0,0,1,84,0,0,0,0.3,-61575,0,4.2,2,-0.2666666666666666
Aaron Cresswell,530,11,0,0,0,1,84,0,0,0,0.3,-60685,0,4.2,2,-0.7878787878787878
Aaron Hickey,104,1,0,0,0,2,71,0,0,0,0.3,-353,1,4.5,0,0.0
Aaron Hickey,104,2,0,0,1,2,148,0,0,0,0.3,115,2,4.5,5,0.0
Aaron Hickey,104,3,0,0,1,3,238,0,0,0,0.3,441,2,4.5,7,0.0
Aaron Hickey,104,4,0,0,1,5,319,0,0,0,0.3,135,2,4.5,8,1.0
Aaron Hickey,104,5,0,0,1,6,400,0,0,0,0.3,544,3,4.5,9,-0.8666666666666671
Aaron Hickey,104,6,0,0,1,9,472,0,0,0,0.4,6052,3,4.5,10,-1.5
Aaron Hickey,104,7,0,0,1,10,540,0,0,0,0.4,3000,4,4.5,11,-1.8571428571428568
Aaron Hickey,104,8,0,0,1,12,630,0,0,0,0.3,-77,5,4.5,11,-2.375
Aaron Hickey,104,9,0,0,2,12,713,0,0,0,0.3,-6289,5,4.5,17,-2.0
Aaron Hickey,104,10,0,0,2,12,713,0,0,0,0.3,-5980,5,4.5,17,-3.5
Aaron Hickey,104,11,0,0,2,12,713,0,0,0,0.3,-8107,5,4.5,17,-4.818181818181818
Aaron Wan-Bissaka,401,1,3,1,1,0,90,0,0,0,2.3,46750,0,4.5,12,0.0
Aaron Wan-Bissaka,401,2,3,1,1,1,155,0,0,0,5.4,243820,1,4.6,13,0.0
Aaron Wan-Bissaka,401,3,3,1,1,3,245,0,0,0,6.0,292273,2,4.6,13,0.0
Aaron Wan-Bissaka,401,4,3,1,1,6,335,0,0,0,5.8,266665,2,4.6,14,0.3333333333333339
Aaron Wan-Bissaka,401,5,3,1,1,6,340,0,0,0,5.4,219444,2,4.6,15,0.06666666666666643
Aaron Wan-Bissaka,401,6,3,1,1,6,340,0,0,0,3.3,22050,2,4.5,15,-0.3333333333333339
Aaron Wan-Bissaka,401,7,3,1,1,6,340,0,0,0,2.6,-51531,2,4.5,15,-0.8095238095238084
Aaron Wan-Bissaka,401,8,3,1,1,6,340,0,0,0,2.3,-77872,2,4.5,15,-1.0
Aaron Wan-Bissaka,401,9,3,1,1,6,340,0,0,0,2.0,-112432,2,4.4,15,-0.8888888888888893
Aaron Wan-Bissaka,401,10,3,1,1,6,340,0,0,0,1.9,-115211,2,4.4,15,-0.8000000000000007
Aaron Wan-Bissaka,401,11,5,1,2,6,430,0,0,0,2.2,-87741,2,4.4,23,0.0
Abdul Rahman Baba,190,1,0,0,0,0,0,0,0,0,0.0,-68,0,4.0,0,0.0
Abdul Rahman Baba,190,2,0,0,0,0,0,0,0,0,0.0,-147,0,4.0,0,0.0
Abdul Rahman Baba,190,3,0,0,0,0,0,0,0,0,0.0,-171,0,4.0,0,0.0
Abdul Rahman Baba,190,4,0,0,0,0,0,0,0,0,0.0,-201,0,4.0,0,0.0
