name,element,GW,assists,bonus,goals_scored,minutes,own_goals,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Aaron Ramsey,675,2,0,0,0,0,0,0,0.0,92,0,5.0,0,0.0
Aaron Ramsey,675,3,0,0,0,22,0,0,0.0,702,0,5.0,1,0.0
Aaron Ramsey,675,4,0,0,0,22,0,0,0.0,476,0,5.0,1,0.0
Aaron Ramsey,675,5,0,0,0,22,0,0,0.0,640,0,5.0,1,0.08333333333333337
Aaron Ramsey,675,6,0,0,0,94,0,0,0.0,1803,0,5.0,3,0.19999999999999996
Aaron Ramsey,675,7,0,0,0,179,0,0,0.0,3140,0,5.0,6,0.33333333333333326
Aaron Ramsey,675,8,0,0,0,208,0,0,0.0,3215,0,5.0,7,-0.6190476190476191
Aaron Ramsey,675,9,0,0,0,208,0,0,0.0,2954,0,5.0,7,-2.083333333333333
Aaron Ramsey,675,10,0,0,0,208,0,0,0.0,2932,0,5.0,7,-3.0000000000000004
Aaron Ramsey,675,11,0,0,0,208,0,0,0.0,2074,0,5.0,7,-3.0
Aaron Ramsey,675,12,0,0,0,218,0,0,0.0,1806,0,5.0,8,-2.6363636363636367
Aaron Ramsey,675,13,0,0,0,235,0,0,0.0,2002,0,5.0,9,-2.583333333333333
Aaron Ramsey,675,14,0,0,0,235,0,0,0.0,2039,0,5.0,9,-2.9230769230769234
Aaron Ramsey,675,15,0,0,0,235,0,0,0.0,2002,0,5.0,9,-3.3095238095238093
Abdoulaye Doucouré,249,1,0,0,0,90,0,0,0.2,-626,0,5.5,2,0.0
Abdoulaye Doucouré,249,2,0,0,0,180,0,0,0.2,-2565,0,5.5,4,0.0
Abdoulaye Doucouré,249,3,0,0,0,270,0,0,0.2,-3570,0,5.5,6,0.0
Abdoulaye Doucouré,249,4,0,2,1,360,0,0,0.2,-2692,1,5.5,14,2.5
Abdoulaye Doucouré,249,5,0,2,1,439,0,0,0.2,-3995,1,5.5,16,0.40000000000000036
Abdoulaye Doucouré,249,6,0,2,2,529,0,0,0.5,24386,1,5.5,23,-1.166666666666666
Abdoulaye Doucouré,249,7,1,2,2,588,0,0,0.9,62754,1,5.5,27,-4.5238095238095255
Abdoulaye Doucouré,249,8,1,2,3,678,0,0,1.0,67922,1,5.5,35,-6.125
Abdoulaye Doucouré,249,9,1,2,3,858,0,0,0.7,41261,1,5.5,40,-9.777777777777775
Abdoulaye Doucouré,249,10,1,2,3,858,0,0,0.7,41222,1,5.5,40,-13.3
Abdoulaye Doucouré,249,11,1,2,3,948,0,0,0.7,40685,2,5.5,41,-15.787878787878789
Abdoulaye Doucouré,249,12,2,4,4,1038,0,0,0.7,39453,3,5.5,52,-15.333333333333336
Abdoulaye Doucouré,249,13,2,4,4,1127,0,0,0.9,55472,4,5.5,53,-17.179487179487182
Abdoulaye Doucouré,249,14,2,4,4,1217,0,0,0.8,48784,4,5.5,56,-19.45238095238095
Abdoulaye Doucouré,249,15,2,5,5,1307,0,0,0.9,52099,4,5.5,65,-22.066666666666663
Adam Lallana,138,1,0,0,0,0,0,0,0.1,-1170,0,5.0,0,0.0
Adam Lallana,138,2,0,0,0,9,0,0,0.1,-1962,0,4.9,1,0.0
Adam Lallana,138,3,0,0,0,39,0,0,0.1,-2196,0,4.9,2,0.0
Adam Lallana,138,4,0,0,0,48,0,0,0.1,-2656,1,4.9,2,0.25
Adam Lallana,138,5,0,0,0,111,0,0,0.1,-2539,1,4.9,5,0.33333333333333326
Adam Lallana,138,6,0,0,0,111,0,0,0.1,-2269,1,4.9,5,-0.5
Adam Lallana,138,7,0,0,0,111,0,0,0.0,-3253,1,4.9,5,-1.1428571428571428
Adam Lallana,138,8,0,0,0,111,0,0,0.0,-3578,1,4.9,5,-1.875
Adam Lallana,138,9,0,0,0,169,0,0,0.0,-3664,1,4.9,6,-1.5555555555555554
Adam Lallana,138,10,0,0,0,169,0,0,0.0,-3642,1,4.9,6,-1.6333333333333329
Adam Lallana,138,11,0,0,0,214,0,0,0.0,-3657,1,4.9,7,-1.666666666666667
Adam Lallana,138,12,0,0,0,259,0,0,0.0,-3585,1,4.9,8,-2.0
Adam Lallana,138,13,0,0,0,304,0,0,0.0,-3524,1,4.9,9,-2.3076923076923075
Adam Lallana,138,14,1,0,0,360,0,0,0.0,-3204,1,4.9,13,-2.7142857142857144
Adam Lallana,138,15,1,0,0,360,0,0,0.0,-3226,1,4.9,13,-4.2
Adama Traoré,662,2,0,0,0,4,0,0,0.0,1389,0,5.0,1,0.0
Adama Traoré,662,3,0,0,0,23,0,0,0.0,1577,0,5.0,2,0.0
Adama Traoré,662,4,0,0,0,32,0,0,0.1,2318,0,5.0,3,0.0
Adama Traoré,662,5,0,0,0,32,0,0,0.1,2691,0,5.0,3,0.25
Adama Traoré,662,6,0,0,0,32,0,0,0.0,1270,0,5.0,3,-0.2666666666666666
Adama Traoré,662,7,0,0,0,32,0,0,0.0,491,0,5.0,3,-0.5
Adama Traoré,662,8,0,0,0,32,0,0,0.0,209,0,4.9,3,-0.4285714285714284
Adama Traoré,662,9,0,0,0,32,0,0,0.0,-137,0,4.9,3,-0.375
Adama Traoré,662,10,0,0,0,32,0,0,0.0,-165,0,4.9,3,-0.3333333333333335
Adama Traoré,662,11,0,0,0,32,0,0,0.0,-264,0,4.9,3,-0.2999999999999998
Adama Traoré,662,12,0,0,0,40,0,0,0.0,-246,0,4.9,4,-0.18181818181818166
Adama Traoré,662,13,0,0,0,40,0,0,0.0,-360,0,4.9,4,-0.41666666666666696
Adama Traoré,662,14,0,0,0,40,0,0,0.0,-417,0,4.9,4,-0.6666666666666665
Adama Traoré,662,15,0,0,0,40,0,0,0.0,-436,0,4.9,4,-0.9285714285714284
Albert Sambi Lokonga,21,1,0,0,0,0,0,0,0.0,-142,0,5.0,0,0.0
Albert Sambi Lokonga,21,2,0,0,0,0,0,0,0.0,-421,0,5.0,0,0.0
Albert Sambi Lokonga,21,3,0,0,0,0,0,0,0.0,-539,0,4.9,0,0.0
Albert Sambi Lokonga,21,4,0,0,0,0,0,0,0.0,-646,0,4.9,0,0.0
Albert Sambi Lokonga,21,5,0,0,0,74,0,0,0.0,-598,0,4.9,2,0.4
Albert Sambi Lokonga,21,6,0,0,0,130,0,0,0.0,-238,0,4.9,3,0.16666666666666674
Albert Sambi Lokonga,21,7,0,0,0,130,0,0,0.0,-740,0,4.9,3,-0.523809523809524
Albert Sambi Lokonga,21,8,0,0,0,130,0,0,0.0,-846,0,4.9,3,-1.2916666666666665
Albert Sambi Lokonga,21,9,0,0,0,130,0,0,0.0,-1007,0,4.9,3,-1.4444444444444444
Albert Sambi Lokonga,21,10,0,0,0,130,0,0,0.0,-1013,0,4.9,3,-1.3
Albert Sambi Lokonga,21,11,0,0,0,130,0,0,0.0,-1043,0,4.9,3,-1.1818181818181819
Albert Sambi Lokonga,21,12,0,0,0,130,0,0,0.0,-1073,0,4.9,3,-1.0833333333333333
Albert Sambi Lokonga,21,13,0,0,0,130,0,0,0.0,-1016,0,4.9,3,-1.0
Albert Sambi Lokonga,21,14,0,0,0,130,0,0,0.0,-1045,0,4.9,3,-0.9285714285714284
Albert Sambi Lokonga,21,15,0,0,0,130,0,0,0.0,-1050,0,4.9,3,-0.8666666666666667
Alejandro Garnacho,382,1,0,0,0,67,0,0,2.7,-3511,0,5.0,3,0.0
Alejandro Garnacho,382,2,0,0,0,132,0,0,2.3,-35312,0,5.0,5,0.0
