name,element,GW,bonus,assists,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points
Cédric Alves Soares,2,15,0,0,0,0,0,0,0,0,0.4,-2789,0,3.9,0
Gabriel dos Santos Magalhães,5,15,2,0,4,11,1014,0,0,0,15.8,-1325517,1,4.9,38
Jakub Kiwior,10,15,0,0,1,5,246,0,0,0,0.1,-3854,0,4.3,11
William Saliba,20,15,5,1,6,14,1350,0,0,0,35.7,1526885,1,5.5,63
Kieran Tierney,24,15,0,0,0,0,0,0,0,0,0.1,-25498,0,4.4,0
Takehiro Tomiyasu,25,15,3,1,3,4,583,0,0,0,0.6,31707,0,4.5,38
Benjamin White,29,15,7,2,5,13,1049,0,0,0,11.5,161168,2,5.6,59
Oleksandr Zinchenko,31,15,9,1,5,7,869,0,0,0,13.0,614995,1,5.2,59
Jurriën Timber,585,15,0,0,0,0,49,0,0,0,0.5,-465160,1,4.6,0
Reuell Walters,736,15,0,0,0,0,0,0,0,0,0.0,818,0,4.0,0
Alexandre Moreno Lopera,32,15,0,0,0,0,17,0,0,0,0.1,4869,0,5.0,2
Matty Cash,36,15,4,1,3,16,1084,1,0,0,24.3,1618880,4,4.9,46
Calum Chambers,37,15,0,0,0,0,0,0,0,0,1.0,-34838,0,3.9,0
Diego Carlos Santos Silva,41,15,0,0,1,9,543,0,0,0,0.3,-20821,0,4.4,17
Lucas Digne,42,15,2,3,3,20,1322,0,0,0,5.8,427848,4,4.7,44
Kortney Hause,45,15,0,0,0,0,0,0,0,0,0.2,-4582,0,4.0,0
Ezri Konsa Ngoyo,48,15,4,1,3,20,1333,0,0,0,1.3,17803,2,4.5,42
Tyrone Mings,51,15,0,0,0,2,30,0,0,0,1.3,-1046035,0,4.1,0
Pau Torres,584,15,4,0,3,18,1319,0,0,0,4.5,192708,1,4.6,52
Clément Lenglet,699,15,0,0,0,0,0,0,0,0,0.1,2193,0,4.5,0
Ryan Fredericks,68,15,0,0,0,0,0,0,0,0,0.0,-1538,0,4.3,0
James Hill,69,15,0,0,0,0,15,0,0,0,0.1,-13627,0,4.0,1
Lloyd Kelly,70,15,3,0,2,14,681,0,0,0,0.1,1419,1,4.5,20
Chris Mepham,75,15,0,0,0,6,175,0,0,0,0.1,-4409,1,4.3,4
Marcos Senesi,83,15,3,1,2,20,845,0,0,0,0.2,1669,4,4.3,30
Adam Smith,84,15,0,1,1,7,389,0,0,0,0.0,-406,0,4.4,16
Illia Zabarnyi,89,15,0,0,3,30,1350,0,0,0,0.1,682,3,4.4,27
Milos Kerkez,595,15,1,1,2,26,1070,1,0,0,0.2,-6443,2,4.4,25
Ben Greenwood,619,15,0,0,0,0,0,0,0,0,0.2,-485,0,4.0,0
Max Aarons,643,15,0,1,2,24,949,0,0,0,0.2,415,1,4.5,23
Kristoffer Ajer,90,15,1,1,2,13,723,0,0,0,0.3,-105,4,4.5,22
Mads Bech Sørensen,93,15,0,0,0,0,0,0,0,0,0.1,-12277,0,4.0,0
Nathan Collins,96,15,3,1,3,15,999,0,0,0,0.5,14101,2,4.5,40
Charlie Goode,102,15,0,0,0,0,0,0,0,0,0.2,4152,0,3.9,0
Rico Henry,103,15,0,1,1,5,401,0,0,0,1.0,-154500,1,4.3,13
Aaron Hickey,104,15,0,0,2,12,713,0,0,0,0.2,-16173,5,4.4,17
Ben Mee,109,15,3,1,0,10,512,0,0,0,2.1,-376755,0,4.8,22
Ethan Pinnock,112,15,5,0,3,21,1350,0,0,0,4.5,247084,0,4.6,46
Mads Roerslev Rasmussen,114,15,0,0,1,8,512,0,0,0,0.1,-639,0,4.4,18
Mathias Jorgensen,121,15,0,0,0,0,7,0,0,0,0.1,-3692,0,4.3,2
Ji-Soo Kim,725,15,0,0,0,0,0,0,0,0,0.0,1312,0,4.0,0
Valintino Adedokun,733,15,0,0,0,0,0,0,0,0,0.0,1194,0,4.0,0
Lewis Dunk,129,15,1,0,0,22,1062,0,0,0,2.8,-168314,3,5.0,18
Pervis Estupiñán,131,15,5,3,0,10,495,1,0,0,15.0,-3622961,2,5.0,25
Michał Karbownik,136,15,0,0,0,0,0,0,0,0,0.0,-2274,0,4.0,0
Tariq Lamptey,139,15,0,2,0,6,171,0,0,0,5.6,-138487,2,4.0,9
Jan Paul van Hecke,150,15,1,0,0,11,748,0,0,0,2.0,55041,2,4.0,15
Joël Veltman,151,15,0,1,0,20,882,0,0,0,0.9,-19585,1,4.4,19
Adam Webster,153,15,0,0,0,13,540,1,0,0,0.2,-15093,1,4.3,5
Igor Julio dos Santos de Paulo,606,15,1,0,0,10,506,0,0,0,0.1,-1532,2,4.3,9
Ben Jackson,746,15,0,0,0,0,0,0,0,0,0.0,768,0,4.0,0
Leigh Kavanagh,753,15,0,0,0,0,0,0,0,0,0.0,94,0,4.0,0
Ameen Al-Dakhil,157,15,0,0,0,22,855,1,0,0,0.6,6932,1,3.9,9
Jordan Beyer,160,15,4,1,1,18,858,0,0,0,1.5,-276457,5,4.0,20
CJ Egan-Riley,166,15,0,0,0,0,0,0,0,0,0.2,3918,0,3.9,0
Hjalmar Ekdal,167,15,0,0,0,1,97,0,0,0,0.1,-10366,1,3.9,2
Luke McNally,171,15,0,0,0,0,0,0,0,0,0.0,-1662,0,4.0,0
Dara O'Shea,173,15,1,2,1,27,937,1,0,0,0.2,-4757,1,4.4,19
Connor Roberts,176,15,0,1,0,21,733,0,0,0,0.2,-14112,2,4.4,8
Charlie Taylor,178,15,1,1,1,22,1080,0,0,0,6.2,526195,4,4.0,26
Bobby Thomas,179,15,0,0,0,0,0,0,0,0,0.0,-1245,0,4.0,0
Victor da Silva,182,15,0,0,1,15,689,0,0,0,0.1,-6716,0,4.4,15
Owen Dodgson,622,15,0,0,0,0,0,0,0,0,0.0,-2848,0,4.0,0
Hannes Delcroix,674,15,0,0,0,11,239,0,0,0,0.0,1416,1,4.0,3
Ethan Ampadu,185,15,0,0,0,0,0,0,0,0,0.0,-863,0,4.0,0
César Azpilicueta,189,15,0,0,0,0,0,0,0,0,0.0,-97,0,4.5,0
Abdul Rahman Baba,190,15,0,0,0,0,0,0,0,0,0.0,-268,0,4.0,0
Benoît Badiashile,191,15,2,1,0,6,180,0,0,0,0.1,1034,1,4.4,5
Trevoh Chalobah,194,15,0,0,0,0,0,0,0,0,0.0,-15938,0,4.3,0
Ben Chilwell,195,15,2,1,1,5,334,0,0,0,5.1,-1010605,3,5.4,15
Levi Colwill,197,15,3,1,3,17,1129,0,0,0,5.1,205804,2,4.5,43
Marc Cucurella Saseta,198,15,0,0,1,13,620,0,0,0,0.5,-18144,5,4.8,8
Wesley Fofana,201,15,0,0,0,0,0,0,0,0,0.0,-2415,0,4.4,0
Malo Gusto,203,15,2,2,2,7,538,0,0,0,4.7,274514,1,4.1,24
Reece James,206,15,0,1,0,12,360,0,0,0,4.6,-1075317,0,5.4,8
Malang Sarr,214,15,0,0,0,0,0,0,0,0,0.1,-4398,0,4.3,0
Thiago Emiliano da Silva,217,15,3,0,3,24,1350,0,0,0,3.6,25620,2,5.0,40
Axel Disasi,611,15,3,0,3,17,1146,0,0,0,4.0,173244,2,4.9,40
Bashir Humphreys,671,15,0,0,0,0,0,0,0,0,0.0,-316,0,4.0,0
Alfie Gilchrist,716,15,0,0,0,0,0,0,0,0,0.0,546,0,4.0,0
Josh Brooking,723,15,0,0,0,0,0,0,0,0,0.0,506,0,4.0,0
Rob Holding,7,15,0,0,0,0,0,0,0,0,0.1,-8372,0,4.3,0
Joachim Andersen,220,15,9,1,5,21,1350,0,0,0,22.5,2005251,2,5.1,64
Nathaniel Clyne,222,15,0,0,1,1,191,0,0,0,0.1,-4216,0,4.4,10
Marc Guéhi,228,15,6,0,5,18,1260,0,0,0,5.1,331282,1,4.7,46
Tyrick Mitchell,234,15,5,1,5,20,1267,0,0,0,6.9,637648,2,4.7,54
Jake O'Brien,235,15,0,0,0,0,0,0,0,0,0.0,-9433,0,4.0,0
Chris Richards,238,15,0,0,0,6,291,0,0,0,0.6,11008,0,3.9,7
James Tomkins,241,15,0,0,0,0,1,0,0,0,0.5,-43009,0,4.0,1
Joel Ward,242,15,0,1,4,20,1209,1,0,0,0.3,4231,3,4.5,35
Jarrad Branthwaite,245,15,5,0,4,15,1170,0,0,0,2.7,230343,4,4.1,38
Seamus Coleman,247,15,0,0,1,0,66,0,0,0,0.0,-3651,0,4.4,6
Ben Godfrey,252,15,0,0,0,0,1,0,0,0,0.1,-7443,0,4.3,1
Mason Holgate,255,15,0,0,0,0,0,0,0,0,0.5,-124194,0,4.0,0
Michael Keane,257,15,0,0,0,7,226,0,0,0,0.2,-12258,1,4.3,2
Vitalii Mykolenko,260,15,6,1,4,11,987,0,0,0,4.6,440845,1,4.5,55
Nathan Patterson,262,15,2,2,1,11,564,0,0,0,0.2,-7627,1,4.4,25
James Tarkowski,265,15,6,1,4,20,1350,0,0,0,3.2,114188,2,4.4,52
Ashley Young,588,15,2,0,3,19,1169,1,0,0,0.3,-35864,4,4.4,25
Issa Diop,271,15,2,0,3,13,700,0,0,0,0.5,-24055,2,4.4,23
Terence Kongolo,274,15,0,0,0,0,0,0,0,0,0.1,-8844,0,4.0,0
Kevin Mbabu,277,15,0,0,0,0,0,0,0,0,0.2,-34663,0,4.0,0
Tim Ream,281,15,4,0,3,24,1143,0,0,0,1.4,76979,2,4.5,34
Antonee Robinson,283,15,3,3,3,26,1244,2,0,0,0.7,5399,4,4.4,34
Kenny Tete,285,15,0,0,2,10,501,0,0,0,0.3,-32923,2,4.4,19
Tosin Adarabioyo,286,15,0,0,1,0,92,0,0,0,0.0,-4802,0,4.3,8
Calvin Bassey,610,15,0,0,1,16,755,0,0,0,0.2,-16171,0,4.4,14
Luc De Fougerolles,625,15,0,0,0,0,0,0,0,0,0.1,-847,0,4.0,0
Timothy Castagne,688,15,3,0,3,15,932,0,0,0,0.5,42268,1,4.5,31
Fodé Ballo-Touré,707,15,0,0,0,0,15,0,0,0,0.0,784,0,4.5,1
Devan Tanton,732,15,0,0,0,0,0,0,0,0,0.0,477,0,4.0,0
Trent Alexander-Arnold,290,15,10,3,5,11,1048,0,0,0,11.9,-579533,3,8.0,71
Joe Gomez,298,15,1,0,3,4,614,0,0,0,0.5,2800,1,4.5,30
Ibrahima Konaté,302,15,0,0,3,6,578,0,0,0,1.5,-38296,2,4.9,26
Joel Matip,305,15,0,0,2,9,779,1,0,0,0.4,1973,2,4.9,21
Nathaniel Phillips,306,15,0,0,0,0,0,0,0,0,0.1,-15289,0,4.0,0
Andrew Robertson,307,15,3,0,1,9,720,0,0,0,2.4,-237875,1,6.4,26
Konstantinos Tsimikas,311,15,3,3,3,5,448,0,0,0,15.4,1567561,0,4.9,35
Sepp van den Berg,312,15,0,0,0,0,0,0,0,0,0.0,-2256,0,4.0,0
