name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,value,transfers_balance,yellow_cards,total_points
Folarin Balogun,1,11,0,0,0,0,0,0,0,0.2,4.4,-48624,0,0
Gabriel Fernando de Jesus,8,11,2,2,4,362,0,0,0,2.0,7.8,-103868,2,18
Eddie Nketiah,13,11,5,6,5,757,0,0,0,10.5,5.7,626890,2,49
Keinan Davis,39,11,0,0,0,0,0,0,0,0.1,4.9,-16818,0,0
Jhon Durán,44,11,3,0,0,68,0,0,0,0.2,5.0,8217,2,15
Ollie Watkins,60,11,8,2,16,950,0,0,0,43.0,8.4,1875620,0,74
Wesley Moraes Ferreira da Silva,61,11,0,0,0,0,0,0,0,0.0,5.0,-749,0,0
Kieffer Moore,76,11,0,0,1,83,0,0,0,0.2,4.7,-23612,0,5
Antoine Semenyo,82,11,4,0,11,341,0,0,0,2.9,4.5,167880,1,25
Dominic Solanke,85,11,3,1,25,978,0,0,0,2.4,6.4,-49453,1,43
Halil Dervişoğlu,100,11,0,0,0,0,0,0,0,0.0,4.5,-752,0,0
Ivan Toney,117,11,0,0,0,0,0,0,0,0.1,7.9,-6950,0,0
Yoane Wissa,119,11,7,4,12,921,0,0,0,9.2,5.9,269488,1,46
Neal Maupay,258,11,2,2,6,354,0,0,0,0.9,4.9,-35120,2,21
Aaron Connolly,127,11,0,0,0,0,0,0,0,0.0,4.5,-3581,0,0
Evan Ferguson,132,11,5,1,13,577,0,0,0,8.0,6.0,116845,0,41
João Pedro Junqueira de Jesus,135,11,3,1,11,533,0,0,0,8.7,5.3,-1462551,1,28
Deniz Undav,149,11,0,0,0,0,0,0,0,0.0,5.5,-4381,0,0
Danny Welbeck,154,11,1,2,7,407,0,0,0,0.7,5.7,-171747,1,15
Andi Zeqiri,155,11,0,0,0,0,0,0,0,0.6,4.4,-65850,0,0
Lyle Foster,168,11,4,1,19,609,0,0,0,1.3,5.0,87142,0,33
Michael Obafemi,174,11,0,0,0,0,0,0,0,0.0,4.9,-2983,0,0
Jay Rodriguez,177,11,0,0,5,203,0,0,0,0.2,5.3,-14466,0,7
Wout Weghorst,183,11,0,0,0,0,0,0,0,0.0,5.5,-14612,0,0
Zeki Amdouni,594,11,2,1,15,661,0,0,0,0.2,5.4,3485,1,22
Pierre-Emerick Aubameyang,188,11,0,0,0,0,0,0,0,0.0,6.5,-1912,0,0
Armando Broja,193,11,0,1,1,120,0,0,0,0.2,4.9,10617,0,8
David Datro Fofana,200,11,0,0,0,0,0,0,0,0.0,5.0,-355,0,0
Romelu Lukaku Bolingoli,207,11,0,0,0,0,0,0,0,0.3,6.8,-51338,0,0
Nicolas Jackson,211,11,5,3,10,758,0,0,0,4.4,6.8,-1073944,6,37
Christopher Nkunku,212,11,0,0,0,0,0,0,0,0.5,7.3,-111426,0,0
Mason Burstow,623,11,0,0,1,8,0,0,0,0.1,4.5,-8650,0,2
Deivid Washington de Souza Eugênio,677,11,0,0,1,9,0,0,0,0.1,4.5,2925,0,1
Ronnie Stutter,717,11,0,0,0,0,0,0,0,0.0,4.5,1383,0,0
Odsonne Edouard,225,11,6,4,10,861,0,0,0,3.6,5.5,132875,2,40
Jean-Philippe Mateta,232,11,0,2,7,374,0,0,0,0.6,4.9,10120,1,20
Luke Plange,237,11,0,0,0,0,0,0,0,0.0,4.5,-1392,0,0
John-Kymani Gordon,658,11,0,0,0,0,0,0,0,0.0,4.5,-1647,0,0
Ademola Ola-Adebomi,720,11,0,0,0,0,0,0,0,0.0,4.5,1679,0,0
Dominic Calvert-Lewin,246,11,3,3,6,497,0,0,0,1.5,5.8,57664,0,28
Ellis Simms,264,11,0,0,0,0,0,0,0,0.0,4.5,-3174,0,0
Youssef Ramalho Chermiti,645,11,0,0,2,30,0,0,0,0.1,4.9,-2144,1,4
Thomas Cannon,649,11,0,0,0,1,0,0,0,0.0,4.5,-1005,0,1
Norberto Bercique Gomes Betuncal,691,11,0,1,5,284,0,0,0,0.1,5.8,8779,0,10
Aleksandar Mitrović,278,11,0,0,0,32,0,0,0,0.7,7.4,-337741,0,1
Rodrigo Muniz Carvalho,279,11,0,1,2,132,0,0,0,0.6,4.4,2121,1,5
Carlos Vinícius Alves Morais,287,11,2,0,3,212,0,0,0,1.7,4.7,-222868,0,13
Raúl Jiménez,558,11,0,2,13,606,0,0,0,0.6,5.2,-62385,2,13
Jay Stansfield,651,11,0,0,0,0,0,0,0,0.0,4.5,-541,0,0
Darwin Núñez Ribeiro,293,11,4,2,4,506,0,0,0,16.2,7.5,211402,1,49
Cody Gakpo,297,11,3,0,6,374,0,0,0,2.3,7.2,-421275,0,22
Elijah Adebayo,314,11,2,0,8,375,0,0,0,0.7,4.8,-40095,0,25
John McAtee,324,11,0,0,0,0,0,0,0,0.6,4.5,-209206,0,0
Carlton Morris,326,11,7,1,20,920,0,0,0,3.8,5.4,238958,1,43
Admiral Muskwe,327,11,0,0,0,0,0,0,0,0.1,4.5,-15537,0,0
Chiedozie Ogbene,328,11,2,1,13,674,0,0,0,0.2,4.9,-1972,0,24
Aribim Pepple,331,11,0,0,0,0,0,0,0,0.1,4.5,-15131,0,0
Joe Taylor,336,11,0,0,0,0,0,0,0,0.1,4.5,-22986,0,0
Cauley Woodrow,340,11,0,0,2,74,0,0,0,1.1,4.4,28025,0,7
Jacob Brown,631,11,0,0,14,571,0,0,0,0.1,4.9,1340,2,18
Julián Álvarez,343,11,11,5,6,908,0,0,0,33.7,7.2,2708186,2,61
Erling Haaland,355,11,11,4,7,934,0,0,0,82.5,14.0,-560831,0,80
Anthony Martial,390,11,0,0,4,230,0,0,0,0.3,6.4,-8694,0,10
Shola Shoretire,399,11,0,0,0,0,0,0,0,0.3,4.4,3786,0,0
Rasmus Højlund,617,11,0,2,9,568,0,0,0,5.0,7.1,337623,0,15
Alexander Isak,415,11,6,2,6,491,0,0,0,12.5,7.4,-871077,0,44
Callum Wilson,433,11,4,4,7,479,0,0,0,6.4,7.9,-251617,1,46
Taiwo Awoniyi,437,11,3,2,9,589,0,0,0,2.1,6.4,57147,1,36
Emmanuel Dennis,443,11,0,0,0,0,0,0,0,0.2,4.8,-42133,0,0
Sam Surridge,464,11,0,0,0,0,0,0,0,0.2,4.5,-24697,0,0
Hwang Ui-jo,466,11,0,0,0,0,0,0,0,0.4,4.4,-91089,0,0
Chris Wood,468,11,5,1,2,232,0,0,0,0.7,4.9,3715,0,28
Divock Origi,714,11,0,0,0,58,0,0,0,0.1,5.0,4864,1,3
Cameron Archer,33,11,6,0,21,626,0,0,0,9.4,4.5,366199,2,31
Rhian Brewster,477,11,0,0,5,163,0,0,0,0.0,4.9,-4058,0,5
Daniel Jebbison,483,11,0,0,0,0,0,0,0,0.0,4.8,-1020,0,0
Oliver McBurnie,485,11,1,0,11,430,0,0,0,0.0,5.4,-2872,1,14
Iliman Ndiaye,486,11,0,0,0,0,0,0,0,0.0,5.5,-2107,0,0
William Osula,490,11,0,0,3,233,0,0,0,0.8,4.3,-75788,2,4
Bénie Traoré,593,11,0,0,9,323,0,0,0,0.0,5.2,-4260,0,9
Louie Marsh,654,11,0,0,0,0,0,0,0,0.0,4.5,-859,0,0
Antwoine Hackford,656,11,0,0,1,11,0,0,0,0.1,4.5,1681,0,2
Harry Kane,500,11,0,0,0,0,0,0,0,0.6,12.5,-318576,0,0
Dane Scarlett,640,11,0,0,0,0,0,0,0,0.2,4.5,-20656,0,0
Alejo Véliz,641,11,0,0,0,10,0,0,0,0.1,5.4,-2632,1,2
Jamie Donley,722,11,0,0,0,0,0,0,0,0.0,4.5,1889,0,0
Michail Antonio,523,11,4,4,13,801,0,0,0,3.4,5.8,40878,2,37
Danny Ings,535,11,0,0,4,68,0,0,0,0.7,5.6,-120416,1,7
Divin Mubama,538,11,0,0,0,0,0,0,0,6.9,4.3,-399530,0,0
Gianluca Scamacca,541,11,0,0,0,0,0,0,0,0.0,6.0,-4895,0,0
Fábio Silva,552,11,0,1,8,259,0,0,0,0.2,5.3,-11486,2,8
Sasa Kalajdzic,562,11,4,1,1,111,0,0,0,0.2,4.9,1702,0,20
Matheus Santos Carneiro Da Cunha,590,11,2,1,17,891,0,0,0,1.0,5.5,55600,1,34
Nathan Fraser,704,11,0,0,0,0,0,0,0,0.1,4.5,5409,0,0
