name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points
Aaron Ramsdale,17,16,0,2,4,450,0,0,6,6.7,-1121880,0,4.6,17
Rúnar Alex Rúnarsson,18,16,0,0,0,0,0,0,0,0.1,-9473,0,4.0,0
David Raya Martin,113,16,2,4,11,990,0,0,17,5.5,34794,0,4.9,40
Karl Hein,646,16,0,0,0,0,0,0,0,0.1,856,0,4.0,0
Emiliano Martínez Romero,49,16,9,4,19,1350,1,0,46,9.4,123529,2,5.0,55
Robin Olsen,53,16,0,0,1,90,0,0,1,0.7,-19616,0,3.9,2
Viljami Sinisalo,57,16,0,0,0,0,0,0,0,0.0,-346,0,4.0,0
Filip Marschall,670,16,0,0,0,0,0,0,0,0.0,989,0,4.0,0
Oliwier Zych,686,16,0,0,0,0,0,0,0,0.1,1406,0,4.0,0
Norberto Murara Neto,77,16,8,4,23,1260,0,1,53,2.6,147616,3,4.5,57
Darren Randolph,80,16,0,0,0,0,0,0,0,0.4,-16308,0,4.0,0
Mark Travers,88,16,0,0,0,0,0,0,0,0.1,-8632,0,4.0,0
Ionuț Radu,607,16,0,0,7,180,0,0,5,0.1,-3524,0,4.4,2
Ellery Balcombe,91,16,0,0,0,0,0,0,0,0.2,-4777,0,3.9,0
Matthew Cox,97,16,0,0,0,0,0,0,0,0.0,-499,0,4.0,0
Mark Flekken,101,16,1,3,20,1305,0,0,39,3.1,119031,1,4.5,44
Thomas Strakosha,116,16,0,0,2,135,0,0,6,2.2,169406,0,3.9,4
Vincent Angelini,752,16,0,0,0,0,0,0,0,0.0,214,0,4.0,0
Tom McGill,141,16,0,0,0,0,0,0,0,0.3,2228,0,3.9,0
Kjell Scherpen,147,16,0,0,0,0,0,0,0,0.0,-32,0,4.0,0
Jason Steele,148,16,0,0,17,810,0,0,23,2.3,-312053,0,4.3,18
Bart Verbruggen,152,16,2,0,11,630,0,0,18,0.4,-13303,1,4.4,15
Denis Franchi,169,16,0,0,0,0,0,0,0,0.2,-1513,0,3.9,0
Arijanet Muric,172,16,0,0,0,0,0,0,0,0.1,-14889,0,4.3,0
Bailey Peacock-Farrell,175,16,0,0,0,0,0,0,0,0.0,-955,0,4.0,0
Lawrence Vigouroux,181,16,0,0,0,0,0,0,0,0.3,2182,0,3.9,0
James Trafford,596,16,2,1,34,1440,0,0,60,0.9,-13908,1,4.5,41
Robert Sánchez,145,16,7,3,25,1433,0,1,53,8.2,475617,2,4.7,59
Kepa Arrizabalaga,187,16,0,0,0,0,0,0,0,0.2,-82228,0,5.0,0
Marcus Bettinelli,192,16,0,0,0,0,0,0,0,0.0,-614,0,4.0,0
Gabriel Słonina,215,16,0,0,0,0,0,0,0,0.0,-3940,0,4.0,0
Lucas Bergström,659,16,0,0,0,0,0,0,0,0.0,272,0,4.0,0
Eddie Beach,680,16,0,0,0,0,0,0,0,0.0,361,0,4.0,0
Djordje Petrovic,687,16,0,0,1,6,0,0,0,0.1,1723,0,4.5,1
Vicente Guaita,227,16,0,0,0,0,0,0,0,0.2,-65720,0,4.4,0
Sam Johnstone,230,16,7,5,22,1436,0,0,34,4.9,278675,0,4.6,56
Remi Matthews,233,16,0,0,1,3,0,0,0,0.1,-1866,0,3.9,1
Joe Whitworth,243,16,0,0,0,0,0,0,0,1.0,-26188,0,4.0,0
Dean Henderson,385,16,0,0,0,0,0,0,0,0.2,-22163,0,4.4,0
Jordan Pickford,263,16,6,5,20,1440,1,0,40,7.8,-641170,2,4.4,56
João Neves Virgínia,266,16,0,0,0,0,0,0,0,0.6,153,0,3.9,0
Andy Lonergan,579,16,0,0,0,0,0,0,0,0.1,-1473,0,3.9,0
Bernd Leno,275,16,10,5,26,1440,1,0,66,15.5,679197,0,4.7,66
Marek Rodák,284,16,0,0,0,0,0,0,0,0.4,-5149,1,3.9,-1
Steven Benda,692,16,0,0,0,0,0,0,0,0.0,1167,0,4.0,0
Adrián San Miguel del Castillo,289,16,0,0,0,0,0,0,0,0.3,-5986,0,4.0,0
Alisson Ramses Becker,291,16,9,4,12,1260,0,0,47,10.2,-57038,1,5.6,62
Caoimhin Kelleher,301,16,0,1,3,180,0,0,3,1.9,161175,0,4.0,7
Marcelo de Araújo Pitaluga Filho,756,16,0,0,0,0,0,0,0,0.0,30,0,4.0,0
Matt Macey,323,16,0,0,0,0,0,0,0,0.2,-39343,0,4.0,0
James Shea,335,16,0,0,0,0,0,0,0,0.1,-9366,0,4.3,0
Jack Walton,338,16,0,0,0,0,0,0,0,0.0,-742,0,4.0,0
Thomas Kaminski,614,16,1,0,32,1440,0,0,62,0.3,6981,3,4.5,34
Tim Krul,665,16,0,0,0,0,0,0,0,0.0,-114,0,4.4,0
Scott Carson,347,16,0,0,0,0,0,0,0,0.1,-463,0,3.9,0
Ederson Santana de Moraes,352,16,0,4,17,1350,0,0,29,17.3,1390,2,5.5,46
Stefan Ortega Moreno,361,16,0,0,1,90,0,0,2,0.8,-1328,0,3.9,2
Zack Steffen,367,16,0,0,0,0,0,0,0,0.2,3527,0,3.9,0
Tom Heaton,384,16,0,0,0,0,0,0,0,0.1,-5707,0,4.0,0
André Onana,597,16,3,5,21,1440,0,0,57,15.1,-1219510,3,4.8,58
Radek Vítek,669,16,0,0,0,0,0,0,0,0.0,766,0,4.0,0
Altay Bayindir,695,16,0,0,0,0,0,0,0,0.0,2772,0,4.0,0
Karl Darlow,408,16,0,0,0,0,0,0,0,0.0,-905,0,4.0,0
Martin Dubravka,409,16,0,0,7,184,0,0,10,6.5,548149,0,4.1,5
Mark Gillespie,411,16,0,0,0,0,0,0,0,0.1,223,0,3.9,0
Nick Pope,424,16,1,6,14,1255,0,0,40,7.2,-459365,0,5.4,56
Loris Karius,580,16,0,0,0,0,0,0,0,0.3,-1480,0,3.9,0
Matt Turner,28,16,0,2,16,990,0,0,35,12.4,-68815,1,3.9,30
Wayne Hennessey,448,16,0,0,0,0,0,0,0,0.2,-10316,0,4.0,0
Ethan Horvath,449,16,0,0,0,0,0,0,0,0.1,-5772,0,4.3,0
George Shelvey,636,16,0,0,0,0,0,0,0,0.0,-1086,0,4.0,0
Odysseas Vlachodimos,710,16,0,1,12,450,0,0,10,0.1,7252,0,4.5,12
Jordan Amissah,472,16,0,0,0,0,0,0,0,0.4,2927,0,3.9,0
Adam Davies,479,16,0,0,0,0,0,0,0,0.2,-4677,0,4.0,0
Wes Foderingham,482,16,7,1,41,1440,1,0,77,0.3,-928,2,4.5,41
Brandon Austin,491,16,0,0,0,0,0,0,0,0.2,-4171,0,3.9,0
Fraser Forster,498,16,0,0,0,0,0,0,0,2.1,-168177,0,3.9,0
Hugo Lloris,502,16,0,0,0,0,0,0,0,0.6,-34641,0,4.8,0
Guglielmo Vicario,520,16,5,4,23,1440,0,0,49,8.2,611808,2,5.2,54
Alfie Whiteman,521,16,0,0,0,0,0,0,0,0.2,-3519,0,3.9,0
Alphonse Areola,524,16,2,1,24,1260,0,1,49,34.0,1225640,0,4.2,45
Lukasz Fabianski,533,16,0,0,6,180,0,0,8,1.4,-156933,0,4.2,4
Joseph Anang,647,16,0,0,0,0,0,0,0,0.1,1394,0,4.0,0
Daniel Bentley,546,16,1,2,0,157,0,0,6,1.3,82211,0,3.9,15
Tom King,564,16,0,0,0,0,0,0,0,0.7,-15759,0,3.9,0
José Malheiro de Sá,569,16,4,1,26,1282,0,0,47,1.4,-1787,1,5.0,40
Matija Šarkić,571,16,0,0,0,0,0,0,0,0.3,-25514,0,4.0,0
