name,element,GW,assists,bonus,goals_scored,minutes,own_goals,saves,selected,transfers_balance,yellow_cards,value,total_points
Mohamed Elneny,3,9,1,0,0,1,0,0,0.1,-3782,0,4.4,4
Fábio Ferreira Vieira,4,9,3,0,1,202,0,0,0.1,-3349,0,5.4,22
Kai Havertz,6,9,1,0,1,563,0,0,1.6,-305474,3,7.1,23
Jorge Luiz Frello Filho,9,9,0,0,0,213,0,0,0.2,-7932,1,5.3,9
Marcus Oliveira Alencar,11,9,0,0,0,0,0,0,0.0,-10406,0,4.5,0
Gabriel Martinelli Silva,12,9,2,0,1,543,0,0,5.1,-895585,0,7.7,27
Martin Ødegaard,14,9,2,6,3,789,0,0,21.1,-292514,1,8.5,48
Thomas Partey,15,9,0,0,0,250,0,0,0.2,-25267,0,4.8,7
Nicolas Pépé,16,9,0,0,0,0,0,0,0.0,-5358,0,4.9,0
Bukayo Saka,19,9,5,8,4,775,0,0,50.6,-831407,1,8.6,64
Emile Smith Rowe,22,9,1,0,0,104,0,0,0.1,-8741,0,5.3,9
Leandro Trossard,26,9,0,3,2,209,0,0,1.6,-391909,0,6.5,21
Granit Xhaka,30,9,0,0,0,0,0,0,0.0,-1169,0,6.0,0
Declan Rice,540,9,1,5,2,843,0,0,4.9,-167086,0,5.4,42
Reiss Nelson,578,9,0,0,0,52,0,0,0.0,-450,0,4.9,4
Leon Bailey,34,9,2,3,3,268,0,0,1.1,11926,1,5.5,33
Emiliano Buendía Stati,35,9,0,0,0,0,0,0,0.0,-16092,0,5.7,0
Philippe Coutinho Correia,38,9,0,0,0,24,0,0,0.2,-41473,0,5.8,2
Leander Dendoncker,40,9,0,0,0,3,0,0,0.0,-1240,0,4.9,3
Douglas Luiz Soares de Paulo,43,9,1,10,5,848,0,0,8.8,606481,4,5.5,56
Tim Iroegbunam,46,9,0,0,0,0,0,0,0.0,-2037,0,4.4,0
Boubacar Kamara,47,9,0,1,0,844,0,0,0.1,-725,3,5.0,20
John McGinn,50,9,2,3,2,837,0,0,0.7,13295,2,5.5,39
Jaden Philogene-Bidace,54,9,0,0,0,3,0,0,0.1,-9540,0,4.5,1
Jacob Ramsey,55,9,0,0,1,48,0,0,0.1,-7510,0,5.9,7
Morgan Sanson,56,9,0,0,0,0,0,0,0.0,-567,0,4.5,0
Youri Tielemans,58,9,1,0,0,160,0,0,0.5,-64225,0,5.7,13
Bertrand Traoré,59,9,0,0,0,10,0,0,0.0,-1397,0,5.0,2
Moussa Diaby,599,9,5,5,3,793,0,0,13.4,653782,0,6.7,57
Omari Kellyman,618,9,0,0,0,0,0,0,0.1,567,0,4.5,0
Nicolò Zaniolo,672,9,0,0,0,376,0,0,0.1,3320,2,5.5,9
Jaidon Anthony,62,9,0,0,0,151,0,0,0.1,-10285,1,4.9,3
Philip Billing,63,9,1,3,1,861,0,0,0.4,-34757,1,5.2,31
David Brooks,64,9,0,2,1,223,0,0,0.1,-2421,1,4.9,15
Ryan Christie,65,9,1,0,0,692,0,0,0.1,2651,0,5.0,21
Lewis Cook,66,9,0,0,0,524,0,0,0.0,-1458,0,5.0,10
Siriki Dembélé,67,9,0,0,0,0,0,0,0.0,-342,0,4.5,0
Gavin Kilkenny,71,9,0,0,0,0,0,0,0.1,-1964,0,4.4,0
Justin Kluivert,72,9,0,0,0,334,0,0,0.2,-27465,0,4.7,9
Jamal Lowe,73,9,0,0,0,0,0,0,0.0,-1102,0,4.9,0
Emiliano Marcondes,74,9,0,0,0,0,0,0,0.0,-2303,0,4.4,0
Dango Ouattara,78,9,0,0,0,212,0,0,0.0,-3751,1,4.8,7
Ben Pearson,79,9,0,0,0,0,0,0,0.0,-103,0,4.5,0
Joe Rothwell,81,9,0,0,0,311,0,0,0.0,-782,0,4.8,9
Marcus Tavernier,86,9,1,0,0,456,0,0,0.0,750,0,5.4,16
Hamed Traorè,87,9,0,0,0,44,0,0,0.0,-1183,0,4.8,3
Alex Scott,644,9,0,0,0,146,0,0,0.0,-476,1,4.9,2
Tyler Adams,673,9,0,0,0,0,0,0,0.0,60,0,4.9,0
Luis Sinisterra,705,9,0,0,0,81,0,0,0.0,284,0,5.5,3
Shandon Baptiste,92,9,0,0,0,18,0,0,0.9,-213462,0,4.3,1
Mads Bidstrup,94,9,0,0,0,0,0,0,0.0,-122,0,4.5,0
Sergi Canós Tenés,95,9,0,0,0,0,0,0,0.0,-3358,0,5.0,0
Mikkel Damsgaard,98,9,0,0,0,52,0,0,0.0,-8252,0,4.9,2
Josh Dasilva,99,9,0,0,0,9,0,0,0.0,-9233,0,4.7,1
Vitaly Janelt,105,9,1,0,0,794,0,0,0.1,-2944,2,5.4,25
Mathias Jensen,106,9,2,8,3,757,0,0,3.1,213865,2,5.5,51
Keane Lewis-Potter,107,9,0,0,0,218,0,0,0.0,-2053,0,4.8,8
Bryan Mbeumo,108,9,2,9,6,900,0,0,19.2,912099,1,6.6,67
Christian Nørgaard,110,9,1,2,1,850,0,0,0.2,-1132,3,5.5,30
Frank Onyeka,111,9,0,0,0,233,0,0,0.0,-194,3,4.9,7
Kevin Schade,115,9,1,2,1,255,0,0,0.1,-5782,0,5.3,19
Ryan Trevitt,118,9,0,0,0,0,0,0,0.0,-1503,0,4.5,0
Yegor Yarmolyuk,120,9,0,0,0,28,0,0,0.6,-18610,0,4.4,2
Michael Olakigbe,620,9,0,0,0,12,0,0,0.0,486,0,4.5,4
Ethan Brierley,684,9,0,0,0,0,0,0,0.0,532,0,4.5,0
Saman Ghoddos,701,9,0,0,1,57,0,0,0.0,4555,3,4.5,7
Simon Adingra,122,9,1,0,2,484,0,0,0.8,44816,0,5.0,27
Steven Alzate,123,9,0,0,0,0,0,0,0.1,-9129,0,4.4,0
Yasin Ayari,124,9,0,0,0,0,0,0,0.0,-4172,0,4.5,0
Facundo Buonanotte,125,9,0,0,0,64,0,0,0.0,-3119,0,4.8,2
Mahmoud Dahoud,128,9,1,0,0,314,0,0,0.1,-7380,1,4.8,13
Julio Enciso,130,9,2,0,0,68,0,0,0.5,-330247,1,5.1,8
Billy Gilmour,133,9,3,4,0,477,0,0,0.5,32713,1,4.9,26
Pascal Groß,134,9,1,7,2,708,0,0,1.5,-253675,1,6.3,36
Kacper Kozłowski,137,9,0,0,0,0,0,0,0.0,-124,0,4.5,0
Adam Lallana,138,9,0,0,0,169,0,0,0.0,-3664,1,4.9,6
Solly March,140,9,1,6,3,555,0,0,4.0,-39545,1,6.2,39
James Milner,142,9,0,0,0,272,0,0,0.1,-12690,2,4.8,7
Kaoru Mitoma,143,9,3,6,3,845,0,0,37.3,-34733,3,6.5,46
Jakub Moder,144,9,0,0,0,0,0,0,0.1,-2202,0,4.4,0
Jeremy Sarmiento Morante,146,9,0,0,0,0,0,0,0.0,-1464,0,4.5,0
Jack Hinshelwood,621,9,0,0,0,85,0,0,0.0,159,0,4.5,2
Carlos Baleba,690,9,0,0,0,245,0,0,0.1,6100,1,4.5,7
Anssumane Fati Vieira,700,9,0,1,2,174,0,0,0.8,61981,1,6.5,16
